# Training-script output capture
# Generated: 2026-05-15T17:20:39
# UUID:      3d3b2cb1-be4f-4f4d-b8db-7cc01ee383b6
# Label:     training
# Leaf:      /home/mklemmingen/PycharmProjects/migraine-forecasting-shd/experiment/0/migraine/full_features/stacked_2xgb_meta_lr/70_15_15/chrono/HyperparameterTuned/pareto_AUPRC_slope/auprc_max
# Captures stdout/stderr written during the wrapped block
# (library messages, warnings, progress bars, etc.).
# Begin capture ----------------------------------------
Loading datasets...
Running pareto_AUPRC_slope search (500 trials, seed=42)...
[I 2026-05-15 17:20:39,582] A new study created in memory with name: no-name-b5b8493c-9164-4bc2-941b-3e25c6108f4b
[I 2026-05-15 17:21:38,669] Trial 75 finished with values: [0.222716069714123, 0.9641323133619165] and parameters: {'n_estimators': 294, 'learning_rate': 0.040381768820718394, 'subsample': 0.9022204554172195, 'colsample_bytree': 0.9652962210225885, 'min_child_weight': 1}.
[I 2026-05-15 17:21:39,476] Trial 76 finished with values: [0.2054935278342322, 0.6363010851175154] and parameters: {'n_estimators': 355, 'learning_rate': 0.01607123851203988, 'subsample': 0.8048372233197124, 'colsample_bytree': 0.7465447373174767, 'min_child_weight': 7}.
[I 2026-05-15 17:21:40,170] Trial 77 finished with values: [0.2558446373317599, 0.7354899447211161] and parameters: {'n_estimators': 280, 'learning_rate': 0.1538583627271404, 'subsample': 0.8006065178748798, 'colsample_bytree': 0.9746919954946938, 'min_child_weight': 8}.
[I 2026-05-15 17:21:40,846] Trial 78 finished with values: [0.19752589694016992, 0.7520003135505456] and parameters: {'n_estimators': 355, 'learning_rate': 0.01058040360169664, 'subsample': 0.8599855723111061, 'colsample_bytree': 0.6254233401144095, 'min_child_weight': 4}.
[I 2026-05-15 17:21:41,303] Trial 79 finished with values: [0.20990101789420068, 0.6803344897767416] and parameters: {'n_estimators': 128, 'learning_rate': 0.05388108577817234, 'subsample': 0.7546941385202149, 'colsample_bytree': 0.9637281608315128, 'min_child_weight': 3}.
[I 2026-05-15 17:21:42,089] Trial 80 finished with values: [0.20960864351399255, 0.6750891738879672] and parameters: {'n_estimators': 339, 'learning_rate': 0.013313275850595153, 'subsample': 0.6646514856378455, 'colsample_bytree': 0.8807867509030813, 'min_child_weight': 7}.
[I 2026-05-15 17:21:42,854] Trial 81 finished with values: [0.24861978216645078, 1.0140191923330442] and parameters: {'n_estimators': 408, 'learning_rate': 0.2063696403063293, 'subsample': 0.7168578594140873, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 5}.
[I 2026-05-15 17:21:43,589] Trial 82 finished with values: [0.223226244747674, 0.977686653214486] and parameters: {'n_estimators': 487, 'learning_rate': 0.017303875834205888, 'subsample': 0.9718790609370292, 'colsample_bytree': 0.7351980627406143, 'min_child_weight': 4}.
[I 2026-05-15 17:21:44,414] Trial 83 finished with values: [0.25791181049949496, 0.6543149576321999] and parameters: {'n_estimators': 414, 'learning_rate': 0.16111511355977057, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.8118602313424026, 'min_child_weight': 1}.
[I 2026-05-15 17:21:44,984] Trial 84 finished with values: [0.3021949102130176, 1.1137533752851545] and parameters: {'n_estimators': 207, 'learning_rate': 0.1131225105716033, 'subsample': 0.9588441039810308, 'colsample_bytree': 0.8245108790277985, 'min_child_weight': 8}.
[I 2026-05-15 17:21:45,703] Trial 85 finished with values: [0.2051882146397539, 0.8667797554121208] and parameters: {'n_estimators': 414, 'learning_rate': 0.019721610970574007, 'subsample': 0.8313120563984696, 'colsample_bytree': 0.836965827544817, 'min_child_weight': 1}.
[I 2026-05-15 17:21:46,237] Trial 86 finished with values: [0.22645233707080653, 0.664184960294363] and parameters: {'n_estimators': 66, 'learning_rate': 0.04872420129560894, 'subsample': 0.9046478461314871, 'colsample_bytree': 0.6950550175969599, 'min_child_weight': 10}.
[I 2026-05-15 17:21:46,988] Trial 87 finished with values: [0.207956881476973, 0.7177332182300146] and parameters: {'n_estimators': 294, 'learning_rate': 0.028180680291847244, 'subsample': 0.6390688456025535, 'colsample_bytree': 0.6027808522124762, 'min_child_weight': 5}.
[I 2026-05-15 17:21:47,549] Trial 88 finished with values: [0.3368168561730155, 1.0208396062737015] and parameters: {'n_estimators': 179, 'learning_rate': 0.16155001304356414, 'subsample': 0.8550229885420852, 'colsample_bytree': 0.9548850970305306, 'min_child_weight': 6}.
